computeRunTime, computePropagationCount, changeSetComputationTime, updateRunTime, updatePropagationCount, avoidedPropagationCount
110, 40, 5, 41, 36, 4
109, 64, 5, 37, 60, 4
105, 30, 5, 33, 22, 8
105, 40, 4, 33, 29, 11
103, 22, 4, 32, 13, 9
114, 48, 6, 36, 43, 5
126, 138, 6, 56, 101, 37
112, 50, 6, 37, 16, 34
118, 46, 7, 43, 30, 16
132, 142, 5, 49, 107, 35
105, 30, 4, 33, 14, 16
110, 46, 6, 36, 18, 28
129, 82, 8, 43, 61, 21
113, 22, 7, 39, 13, 9
105, 34, 5, 36, 12, 22
111, 52, 6, 36, 16, 36
119, 32, 6, 38, 20, 12
118, 58, 6, 42, 48, 10
112, 60, 6, 42, 53, 7
108, 38, 5, 34, 23, 15
112, 88, 6, 41, 94, -6
113, 42, 7, 41, 20, 22
136, 94, 7, 48, 47, 47
134, 48, 7, 42, 17, 31
98, 34, 7, 35, 8, 26
109, 92, 8, 50, 21, 71
115, 60, 6, 42, 63, -3
166, 60, 5, 40, 63, -3
